Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,70001,Appetizer,Papadam (VG),1.95,,,,,2.34,2.34
,70002,Appetizer,Vegetable Samosa (VG),4.95,,,,,5.94,5.94
,70003,Appetizer,Onion Bhaji (VG & GF),3.95,,,,,4.74,4.74
,70004,Appetizer,Aloo Tikki (VG & GF),3.95,,,,,7.74,7.74
,70005,Appetizer,Paneer Pakora (GF),4.95,,,,,5.94,5.94
,70006,Appetizer,Vegetable Pakora (VG & GF),4.95,,,,,5.94,5.94
,70007,Appetizer,Chicken Pakora (GF),5.95,,,,,7.14,7.14
,70008,Appetizer,Bhutan House Vegetable Samosa Chat,6.95,,,,,8.34,8.34
,70009,Appetizer,Fish Pakora (GF),6.95,,,,,8.34,8.34
,70010,Appetizer,Assorted Snacks,9.95,,,,,11.94,11.94
,70011,Appetizer,Chicken Sekuwa (GF),9.95,,,,,11.94,11.94
,70012,Appetizer,Lamb Sekuwan (GF),11.95,,,,,14.34,14.34
,70013,Indian Flat Bread,Bread Basket,9.95,,,,,11.94,11.94
,70014,Indian Flat Bread,Bhutan Special Naan,4.95,,,,,5.94,5.94
,70015,Indian Flat Bread,Garlic Naan,3.95,,,,,4.74,4.74
,70016,Indian Flat Bread,Garlic-Cheese Naan,4.95,,,,,5.94,5.94
,70017,Indian Flat Bread,Sweet Naan,3.95,,,,,4.74,4.74
,70018,Indian Flat Bread,Onion Naan,3.95,,,,,4.74,4.74
,70019,Indian Flat Bread,Cheese Naan,3.95,,,,,4.74,4.74
,70020,Indian Flat Bread,Aloo Paratha,3.95,,,,,4.74,4.74
,70021,Indian Flat Bread,Naan,1.95,,,,,2.34,2.34
,70022,Indian Flat Bread,Roti (VG),1.95,,,,,2.34,2.34
,70023,Indian Flat Bread,Garlic Roti (VG),2.95,,,,,3.54,3.54
,70024,Soups,Daal Aloo Soup,3.95,,,,,4.74,4.74
,70025,Soups,Vegetable Soup,3.95,,,,,4.74,4.74
,70026,Soups,Chicken Soup,4.95,,,,,5.94,5.94
,70027,Bhutanese House Specialities,Vegetable Momo,10.95,,,,,12.05,12.05
,70028,Bhutanese House Specialities,Chicken Momo,12.95,,,,,14.25,14.25
,70029,Bhutanese House Specialities,Vegetable Chilli Momo,12.95,,,,,14.25,14.25
,70030,Bhutanese House Specialities,Chicken Chilli Momo,13.95,,,,,16.45,16.45
,70031,Bhutanese House Specialities,Bhutan House Chaw Chaw,10.95,,,,,12.05,12.05
,70032,Bhutanese House Specialities,Vegetable Chaw Chaw,11.95,,,,,13.15,13.15
,70033,Bhutanese House Specialities,Chicken Chaw Chaw,12.95,,,,,14.25,14.25
,70034,Bhutanese House Specialities,Lamb Chaw Chaw,14.95,,,,,16.45,16.45
,70035,Bhutanese House Specialities,Shrimp Chaw Chaw,15.95,,,,,17.55,17.55
