Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,110001,Appetizer,Super Nachos,10.99,,,,,13.19,13.19
,110002,Appetizer,Nachos,7.99,,,,,9.59,9.59
,110003,Appetizer,Cheese Quesadilla,9.49,,,,,8.99,8.99
,110004,Appetizer,Guacamole and Chips,6.99,,,,,8.39,8.39
,110005,Appetizer,4 Taquitos,7.99,,,,,9.59,9.59
,110007,Salad,Original Taco Salad,9.99,,,,,9.89,9.89
,110008,Salad,Salad de Lite,10.99,,,,,10.99,10.99
,110009,Breakfast,Huevos Rancheros,9.49,,,,,9.34,9.34
,110010,Breakfast,Chorizo con Huevos,10.49,,,,,10.44,10.44
,110011,Soup,Tortilla Lime Soup,5.99,,,,,5.05,5.05
,110012,Platter,Chicken Fajita,12.99,,,,,14.29,14.29
,110013,Platter,Steak Fajita,15.99,,,,,15.39,15.39
,110014,Platter,Chicken and Steak Combo Fajita,13.99,,,,,17.59,17.59
,110015,Platter,Shrimp Fajita,13.99,,,,,14.29,14.29
,110016,Platter,Carnitas Fajita,13.99,,,,,14.29,14.29
,110017,Platter,#1 Super Cancun,14.59,,,,,16.05,16.05
,110018,Platter,#2 Cancun Pequeno,10.99,,,,,12.09,12.09
,110019,Platter,#3 Chicken-itza,11.59,,,,,12.75,12.75
,110020,Platter,#4 Merida,10.99,,,,,12.09,12.09
,110021,Platter,#5 Isla Mujeres,11.59,,,,,12.75,12.75
,110022,Platter,#6 Cancun Trio,12.99,,,,,14.29,14.29
,110023,Platter,#8 Chelem,10.99,,,,,12.09,12.09
,110024,Platter,# 17 Fish Tacos,12.99,,,,,14.29,14.29
,110025,Platter,# 7 Uxmal,9.99,,,,,10.99,10.99
,110026,House Specialties,#9 Carne Asada Mexican Steak,15.99,,,,,14.95,14.95
,110027,House Specialties,#10 Cochinita,12.99,,,,,14.29,14.29
,110028,House Specialties,#11 Chile Verde Platter,11.99,,,,,13.19,13.19
,110029,House Specialties,#12 Carnitas,12.99,,,,,14.29,14.29
,110030,House Specialties,#13 Machaca,11.29,,,,,13.52,13.52
,110031,House Specialties,#14 Tulum,10.59,,,,,11.65,11.65
,110032,House Specialties,#15 Tamales,10.99,,,,,13.19,13.19
,110033,House Specialties,#16 Chile Relleno,11.99,,,,,12.75,12.75
,110034,A la Carte,Taco,3.79,,,,,4.55,4.55
,110035,A la Carte,Fish Taco,4.99,,,,,5.99,5.99
,110036,A la Carte,Carne Asada Taco,4.99,,,,,5.99,5.99
,110037,A la Carte,Carnitas Taco,4.99,,,,,5.99,5.99
,110038,A la Carte,Burrito,5.79,,,,,6.95,6.95
,110039,A la Carte,Enchilada,4.59,,,,,5.51,5.51
,110040,A la Carte,Tostada,3.99,,,,,4.79,4.79
,110041,A la Carte,Pork Tamale,4.59,,,,,5.51,5.51
