Restaurant - Base Pricing Info,,,,,,,,Markup,,Chefpanzee Price,
Product Id,Product Name,Original Price,Product Description,Category (Internal),Variation,Cost Variation,,Lunch,Dinner,Lunch,Dinner
,Super Nachos ,12.99,"Chip, cheese, beef, or chicken with beans, tomatoes, onion, jalapenos, olives, sour cream and guacamole.",Appetizers ,1,0,,,,,
,Nachos,8.99,Chips and melted cheese topped with sour cream and guacamole.,Appetizers ,0,,,,,,
,Cheese Quesadilla ,9.49,"Served with sour cream, guacamole and pico de gallo.",Appetizers ,1,2,,,,,
,Guacamole and Chips,6.99,Made fresh daily.,Appetizers ,1,1,,,,,
,4 Taquitos ,7.99,"Beef topped with guacamole, sour cream and cheese.",Appetizers ,1,0,,,,,
,Original Taco Salad ,10.99,"Chicken or shredded beef on a bed of fresh lettuce and beans, topped with tomatoes, cheese , sour cream and guacamole.","Ensalads, Sopa y Huevos ",1,0,,,,,
,Salad de Lite,11.99,"Chicken, shredded beef, pork carnitas on a bed of fresh lettuce and black beans topped with tomatoes, cotja cheese, and guacamole. Served on a whole wheat tortilla.","Ensalads, Sopa y Huevos ",1,0,,,,,
,Huevos Rancheros ,10.49,"Chicken, shredded beef, pork carnitas on a bed of fresh lettuce and black beans topped with tomatoes, cotja cheese, and guacamole. Served on a whole wheat tortilla.","Ensalads, Sopa y Huevos ",,,,,,,
,Chorizo con Huevos ,11.49,"Spicy Mexican sausage omelet served with rice, beans and choice or corn or flour tortillas.","Ensalads, Sopa y Huevos ",,,,,,,
,Tortilla Lime Soup ,5.59,Chicken-based soup with lime and cilantro.,"Ensalads, Sopa y Huevos ",,,,,,,
,Chicken Fajita ,15.99,"Served with onions, green and red peppers, and seasoned to perfection. Served with tortillas, guacamole, and sour cream. Served with rice and beans.",Platters,,,,,,,
,Chicken and Steak Combo Fajita  ,15.99,"Served with onions, green and red peppers, and seasoned to perfection. Served with tortillas, guacamole, and sour cream. Served with rice and beans.",Platters,,,,,,,
,Shrimp Fajita ,15.99,"Served with onions, green and red peppers, and seasoned to perfection. Served with tortillas, guacamole, and sour cream. Served with rice and beans.",Platters,,,,,,,
,Carnitas Fajita ,14.99,"Served with onions, green and red peppers, and seasoned to perfection. Served with tortillas, guacamole, and sour cream. Served with rice and beans.",Platters,,,,,,,
