Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,140001,Fluffy Pancakes,Rose,6.95,,,,,7.65,7.65
,140002,Fluffy Pancakes,Meadow,6.95,,,,,7.65,7.65
,140003,Fluffy Pancakes,Cocoa,6.95,,,,,7.65,7.65
,140004,Fluffy Pancakes,Amber,6.95,,,,,7.65,7.65
,140005,Rolled Ice Cream,Berry Bunny,6.95,,,,,7.65,7.65
,140006,Rolled Ice Cream,Heart Drop,6.95,,,,,7.65,7.65
,140007,Rolled Ice Cream,Tahiti,6.95,,,,,7.65,7.65
,140008,Rolled Ice Cream,Twilight,7.42,,,,,8.16,8.16
,140009,Rolled Ice Cream,NY NY,7.42,,,,,8.16,8.16
,140010,Rolled Ice Cream,Velvet,7.42,,,,,8.16,8.16
,140011,Rolled Ice Cream,Choco Loco,6.95,,,,,7.65,7.65
,140012,Rolled Ice Cream,Rocky Canyons,6.95,,,,,7.65,7.65
,140013,Rolled Ice Cream,Frostbite,6.95,,,,,7.65,7.65
,140014,Rolled Ice Cream,Tiramisu Dream,6.95,,,,,7.65,7.65
,140015,Japanese Crepes,Doki Doki,6.95,,,,,7.65,7.65
,140016,Japanese Crepes,First Date,6.95,,,,,7.65,7.65
,140017,Japanese Crepes,Red Rose,6.95,,,,,7.65,7.65
,140018,Japanese Crepes,Kiss Kiss,7.42,,,,,8.16,8.16
,140019,Japanese Crepes,Honeymoon,7.42,,,,,8.16,8.16
,140020,Japanese Crepes,Sweet Dough,7.42,,,,,8.16,8.16
,140021,Japanese Crepes,Bling Bling,6.95,,,,,7.65,7.65
,140022,Japanese Crepes,SoCal Crush,6.95,,,,,7.65,7.65
,140023,Japanese Crepes,Secret,6.95,,,,,7.65,7.65
,140024,Japanese Crepes,Something Something,6.95,,,,,7.65,7.65
,140025,Drinks,Passion Fruit Limeade,4,,,,,4.5,4.5
,140026,Drinks,Berry Hibiscus,4,,,,,4.5,4.5
,140027,Drinks,Tigerblood,4,,,,,4.5,4.5
,140028,Drinks,Princess Peach,4,,,,,4.5,4.5
,140029,Tea,Green,3,,,,,3.38,3.38
,140030,Tea,Oolong,3,,,,,3.38,3.38
,140031,Tea,Black,3,,,,,3.38,3.38
,140032,Tea,Thai,3,,,,,3.38,3.38
,140033,Tea,Matcha,3,,,,,3.38,3.38
,140034,Smoothies,Berries,5,,,,,5.63,5.63
,140035,Smoothies,Strawberry,5,,,,,5.63,5.63
,140036,Smoothies,Banana,5,,,,,5.63,5.63
,140037,Smoothies,Kiwi,5,,,,,5.63,5.63
,140038,Smoothies,Mango,5,,,,,5.63,5.63
,140039,Smoothies,Avocado,5,,,,,5.63,5.63
,140040,Smoothies,Combination,6,,,,,6.75,6.75
,140041,Coffee,Viethal Weapon,4,,,,,4.5,4.5
,140042,Coffee,House Blend,2,,,,,2.25,2.25
