Restaurant - Base Pricing Info,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
3346097,230001,Appetizers,Sate Ayam,7.95,Grill chicken skewer served with sweet and savory peanut sauce.,Appetizer,0.2,0.2,9.540000000000001,9.540000000000001
3346098,230002,Appetizers,Roti Canai,5.45,Flatbread with curry sauce.,Appetizer,0.2,0.2,6.54,6.54
3346099,220003,Appetizers,Martabak Telor,7.25,"Thin pancakes stuffed with chopped beef, scallion, and eggs.",Appetizer,0.2,0.2,8.7,8.7
3346100,220004,Appetizers,Kwekeng,7.25,Tofu skin stuffed with ground pork and fish.,Appetizer,0.2,0.2,8.7,8.7
3346101,220005,Appetizers,Lumpia,6.95,"Indonesian eggroll with minced pork, dried shrimp, bamboo shoot, vermicelli noodle, carrots.",Appetizer,0.2,0.2,8.34,8.34
3346102,220006,Appetizers,Honey Glazed Lollipop Wings,8.55,Spicy. Karaage style fried chicken wings in sweet and spicy sauce.,Appetizer,0.2,0.2,10.260000000000002,10.260000000000002
3346103,220007,Soup & Salad,Gado-Gado,9.25,"Indonesian salad of blanched vegetables, hard boiled egg, fried tofu, cucumber, green leaves, tomato, crispy shallots, shrimp crackers in peanut sauce dressing.",Entree,0.1,0.15,10.175,10.6375
3346104,220008,Soup & Salad,Sop Pangsit,8.75,Pork and shrimp wonton soup.,Entree,0.1,0.15,9.625,10.0625
3346105,220009,Meat & Poultry,Rendang,13.25,Spicy. Popular West Sumatra dish of braised beef in coconut milk and spices. Served with steamed rice.,Entree,0.1,0.15,14.575,15.2375
3346106,220010,Meat & Poultry,Gulai Kambing,13.75,Goat cooked in yellow curry sauce. Served with steamed rice.,Entree,0.1,0.15,15.125,15.8125
3346107,220011,Meat & Poultry,Ayam Bumbu Rujak,13.25,Spicy. Slow cooked grill chicken in red spicy coconut sauce. Served with steamed rice.,Entree,0.1,0.15,14.575,15.2375
3346108,220012,Meat & Poultry,Ayam Bakar,13.25,Grill tender chicken in dark sweet soy sauce. Served with steamed rice.,Entree,0.1,0.15,14.575,15.2375
3346109,220013,Meat & Poultry,Ayam Penyet,13.45,Spicy. Fry chicken smash in a mortar with fiery chili sambal. Served with steamed rice.,Entree,0.1,0.15,14.795,15.4675
3346110,220014,Seafood,Udang Saus Mentega,13.25,Jumbo prawn in sweet buttery sauce with scallion and onion. Served with steamed rice.,Entree,0.1,0.15,14.575,15.2375
3346111,220015,Seafood,Red Curry Fish,13.25,"Spicy. Slice cod fish cooked in red curry sauce, basil leaves, peas and carrots, and onion. Served with steamed rice.",Entree,0.1,0.15,14.575,15.2375
3346112,220016,Seafood,Ginger Scallion Fish,13.25,Sliced cod fish stir fry in special house sauce. Served with steamed rice.,Entree,0.1,0.15,14.575,15.2375
3346113,220017,Rice & Noodles,Kwetiau Goreng,9.75,"Stir-fry big flat rice noodles with egg, vegetables, and sliced chicken.",Entree,0.1,0.15,10.725,11.2125
3346114,220018,Rice & Noodles,Nasi Goreng Jawa,10.55,"Traditional Javanese fried rice with sliced chicken, vegetables, and spices, seasoned with sweet soy sauce and served with fried egg, crispy shallots, cucumber pickle and shrimp crackers.",Entree,0.1,0.15,11.605,12.1325
3346115,220019,Rice & Noodles,Laksa,10.75,"Spicy. Popular Malaysian spicy rice noodle soup with chicken, prawn, topped with boiled egg, bean sprout, basil and crispy shallot based on rich spicy curry soup.",Entree,0.1,0.15,11.825,12.3625
3346116,220020,Rice & Noodles,Mie Tek Tek,10.55,"Indonesian stir-fry flavorful noodle in sweet soy sauce with egg, chicken, and vegetables served with pickled cucumber and fried egg.",Entree,0.1,0.15,11.605,12.1325
3346117,220021,Rice & Noodles,Dan - Dan Noodle,9.95,Egg noodle top of with minced pork and vegetable.,Entree,0.1,0.15,10.944999999999999,11.442499999999999
3346118,220022,Rice & Noodles,Beehon Goreng,10.25,"Stir-fry rice noodle with chicken, egg, and vegetable.",Entree,0.1,0.15,11.275,11.7875
3346119,220023,Rice & Noodles,Mie Ayam,10.55,"Savory Jakarta seasoned chicken egg noodle topped with fried wonton, baby bok choy, bean sprout, and chicken broth on the side.",Entree,0.1,0.15,11.605,12.1325
3346120,220024,Rice & Noodles,Wanton Mie,11.45,"Seasoned egg noodle with sweet pork belly, pork and shrimp dumpling, and baby bok choy and chicken broth on the side.",Entree,0.1,0.15,12.594999999999999,13.167499999999999
3346121,220025,Rice & Noodles,Eefoo Mie,12.55,"Crispy egg noodle served in a thick savory brown sauce with shrimp, fish, chicken, scallion, baby bok choy, carrots, and onion.",Entree,0.1,0.15,13.805000000000001,14.432500000000001
3346122,220026,Rice & Noodles,Mie Babi Bali,10.5,Inspired by Balinese noodle style braised pork belly in a sweet savory sauce.,Entree,0.1,0.15,11.55,12.075
3346123,220027,Rice & Noodles,Simply Noodle,6.95,"The name says it all. A simple stir-fry egg noodle, with bean sprout, scallion in soy sauce.",Entree,0.1,0.15,7.6450000000000005,7.9925
3346124,220028,Vegetarian,Cah Kangkung,9.95,Stir-fry water spinach in garlic sauce.,Entree,0.1,0.15,10.944999999999999,11.442499999999999
3346125,220029,Vegetarian,Terong Balado,10.25,Eggplant stir fry in Indonesia chili sambal sauce.,Entree,0.1,0.15,11.275,11.7875
3346126,220030,Vegetarian,Curry Tofu,9.95,Fry tofu cooked in coconut red curry sauce.,Entree,0.1,0.15,10.944999999999999,11.442499999999999
3346127,220031,Side Dishes,Sambal Terasi,2.95,Spicy. Tomato chili jam with Belacan shrimp paste.,Side,0.2,0.2,3.54,3.54
3346128,220032,Side Dishes,Steamed Rice,1.5,,Side,0.2,0.2,1.8,1.8
3346129,220033,Side Dishes,Acar,2.75,Pickle fresh cucumber and red onion.,Side,0.2,0.2,3.3,3.3
3346130,220034,Side Dishes,Krupuk Goreng,2.5,Shrimp cracker.,Side,0.2,0.2,3,3
3346131,220035,Dessert,Es Campur,5.85,"Indonesian shaving ice with jelly, fruits, syrup, and condensed milk.",Dessert,0.175,0.2625,6.873749999999999,7.385624999999999
3346132,220036,Dessert,Es Cendol,5.5,"Green rice flour jelly served with coconut milk, palm sugar, and shaved ice.",Dessert,0.175,0.2625,6.4625,6.94375
3346133,220037,Drinks,Ice Milo,4.25,,Drinks,0.125,0.125,4.78125,4.78125
3346134,220038,Drinks,Canned Soda,1.75,,Drinks,0.125,0.125,1.96875,1.96875
3346135,220039,Drinks,Bottled Soda,275,,Drinks,0.125,0.125,309.375,309.375
3346136,220040,Drinks,Fresh Coconut,4.25,,Drinks,0.125,0.125,4.78125,4.78125
3346137,220041,Drinks,Hot Vietnamese Coffee,3.95,,Drinks,0.125,0.125,4.4437500000000005,4.4437500000000005
3346138,220042,Drinks,Thai Ice Tea,4.75,,Drinks,0.125,0.125,5.34375,5.34375
3346139,220043,Drinks,Hot Tea,3.95,,Drinks,0.125,0.125,4.4437500000000005,4.4437500000000005
3834026,220044,Donate,$1 Donation,1,100% of proceeds go directly to this local restaurant,Donations,0,0,1,1
3834027,220045,Donate,$5 Donation,5,100% of proceeds go directly to this local restaurant,Donations,0,0,5,5
3834028,220046,Donate,$10 Donation,10,100% of proceeds go directly to this local restaurant,Donations,0,0,10,10
3834029,220047,Donate,$20 Donation,20,100% of proceeds go directly to this local restaurant,Donations,0,0,20,20
3834030,220048,Donate,$50 Donation,50,100% of proceeds go directly to this local restaurant,Donations,0,0,50,50
3834031,220049,Donate,$100 Donation,100,100% of proceeds go directly to this local restaurant,Donations,0,0,100,100
