Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,260001,Entree,Poulet Yoganese,,,,,,12.75,
,260002,Entree,Pulled Pork Labidie,,,,,,13.75,
,260003,Entree,Shredded Beef Labidie,,,,,,14.3,
,260004,Entree,Salmon Romaren,,,,,,13.2,
,260005,Entree,Vegan Poulet Yoganese,,,,,,15.4,
,260006,Entree,Haitian Taco,,,,,,13.75,
,260007,Entree,Plantain Nacho,,,,,,15.99,
,260008,Side,Fried Polenta,,,,,,3.6,
,260009,Side,Ratatouille,,,,,,4.8,
,260010,Side,House Salad,,,,,,6,
,260011,Donate,$1 Donation,,,,,,1,
,260012,Donate,$5 Donation,,,,,,5,
,260013,Donate,$10 Donation,,,,,,10,
,260014,Donate,$20 Donation,,,,,,20,
,260015,Donate,$50 Donation,,,,,,50,
,260016,Donate,$100 Donation,,,,,,100,
,260017,Take & Bake,Poulet Yoganese,,,,,,13.8,
,260018,Take & Bake,Pulled Pork Labidie,,,,,,14.8,
,260019,Take & Bake,Haitian Tacos,,,,,,13.75,
,260020,Take & Bake,Vegan Poulet Yoganese,,,,,,15.4,
,260021,Drinks,Pink Guava Juice,,,,,,3.99,
,260022,Drinks,Passion Fruit Juice,,,,,,3.99,
,260023,Appetizer,Plantains and Pikliz,,,,,,12,
