Restaurant - Base Pricing Info,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
3895926,150001,Traditional Churros,2 Fresh Filled Mini Churros: Traditional Filling Flavors,3.99,"We handcraft 2 mini churros to golden crispy perfection, coat them with sugar and freshly ground cinnamon and then fill them with your choice of sweet happiness: Dulce de leche (Mexican caramel) Nutella Sweet cream (sweetened condensed milk)",Entree,0.1,0.15,4.389,4.5885
3895927,150002,Traditional Churros,6 Fresh Filled Mini Churros: Traditional Filling Flavors,8.99,"We handcraft 6 mini churros to golden crispy perfection, coat them with sugar and freshly ground cinnamon and then fill them with your choice of sweet happiness: Dulce de leche (Mexican caramel) Nutella Sweet cream (sweetened condensed milk)",Entree,0.1,0.15,9.889,10.3385
3895930,150003,Specialty Churros,2 Fresh Filled Mini Churros: Seasonal Filling Flavors,4.99,"We handcraft 2 mini churros to golden crispy perfection, coat them with sugar and freshly ground cinnamon and then fill them with your choice of sweet happiness: SEASONAL FLAVORS: Raspberry Coconut Cream TRADITIONAL FLAVORS: Dulce de leche (Mexican caramel) Nutella Sweet cream (sweetened condensed milk)",Entree,0.1,0.15,5.489,5.7385
3895931,150004,Specialty Churros,6 Fresh Filled Mini Churros: Seasonal Filling Flavors,11.99,"We handcraft 6 mini churros to golden crispy perfection, coat them with sugar and freshly ground cinnamon and then fill them with your choice of sweet happiness: SEASONAL FLAVORS: Raspberry Coconut Cream TRADITIONAL FLAVORS: Dulce de leche (Mexican caramel) Nutella Sweet cream (sweetened condensed milk)",Entree,0.1,0.15,13.189,13.7885
3895932,150005,Gluten-Sensitive Churros,2 Gluten-sensitive Fresh Filled Churros,4.99,"*** PLEASE NOTE *** We make our own gluten-free churro dough that we call gluten-sensitive because it is fried in oil that has also fried gluten dough. We handcraft 2 mini gluten-sensitive churros to golden crispy perfection, coat them with sugar and freshly ground cinnamon and then fill them with your choice of sweet happiness: SEASONAL FLAVORS: Raspberry Coconut Cream TRADITIONAL FLAVORS: Dulce de leche (Mexican caramel) Nutella Sweet cream (sweetened condensed milk)",Entree,0.1,0.15,5.489,5.7385
3895933,150006,Gluten-Sensitive Churros,6 pc Gluten Sensitive / Vegan Churros,11.99,Six gluten-sensitive/vegan churros with a filling of your choice,Entree,0.1,0.15,13.189,13.7885
3895938,150007,Keto Churros,2 pc Keto Churros,4.99,Two keto churros with a filling of your choice,Entree,0.1,0.15,5.489,5.7385
3895939,150008,Keto Churros,6 pc Keto Churros,11.99,Six keto churros with a filling of your choice,Entree,0.1,0.15,13.189,13.7885
3895941,150009,Fiesta Platters,"Fiesta Platter ‚ 30 Fresh Filled Churros, Traditional Filling Flavors",74.99,"30 fresh filled mini churros in a circular tin and 3 small bottles filled with traditional fillings (dulce de leche, Nutella, sweet cream) to allow you to fill them yourselves. We handcraft our churros to golden crispy perfection, coat them with sugar and freshly ground cinnamon and then you fill them with the provided filling bottles of your choice of sweet happiness.",Entree,0.1,0.15,82.48899999999999,86.23849999999999
3895942,150010,Fiesta Platters,"Fiesta Platter, 30 Fresh Filled Churros, Seasonal Filling Flavors",94.99,"30 fresh filled mini churros in a circular tin and 3 small bottles filled with traditional fillings (dulce de leche, Nutella, sweet cream) to allow you to fill them yourselves. We handcraft our churros to golden crispy perfection, coat them with sugar and freshly ground cinnamon and then you fill them with the provided filling bottles of your choice of sweet happiness.",Entree,0.1,0.15,104.48899999999999,109.23849999999999
,150011,Fiesta Platters,40 Fresh FIlled Churros,60,,Entree,,,66,69
4151949,150012,Anytime-at-home Churro Kits,Take & Bake Anytime-at-home Churro Kit,16,"Take & Bake ‚Äî 13 pre-made, frozen mini churros ready to reheat, fill and devour  Each kit includes:  One devil's dozen [13] pre-made, frozen mini churros coated with sugar and freshly-ground cinnamon One reusable filling bottle of your choice of either dulce de leche, nutella or sweet cream One free churro coupon for curbside order  Reheat at 350 degrees for about 6 minutes or until they are your desired temperature. Fill to your hearts' content! For added flavor pop, we humbly suggest sprinkling some pink Himalayan salt on top!",Entree,0.1,0.15,17.6,18.4
4151954,150013,Anytime-at-home Churro Kits,Take & Bake Anytime-at-home Churros ‚ Refill of Devil's Dozen (13) Churros,13,"One devil's dozen [13] pre-made, frozen mini churros coated with sugar and freshly-ground cinnamon ready to reheat and fill.  Reheat at 350 degrees for about 6 minutes or until they are your desired temperature. Get creative with your filling choices! We humbly suggest honey, jam, dulce de leche, nutella, peanut or almond butter, whipped cream, custard, chocolate and fresh fruit!",Entree,0.1,0.15,14.3,14.95
4151956,150014,Anytime-at-home Churro Kits,Extra Filling Bottle,4,"Give yourself some filling flavor options with an extra reusable bottle of your choice of dulce de leche, nutella or sweet cream!  * Note: Churros in photo are just to get you salivating but aren't included with the extra filling bottle.",Entree,0.1,0.15,4.4,4.6
,150015,San Diablo Sweets,Churro-Fried Banana Split,18,,Entree,,,19.8,
,150016,San Diablo Sweets,Half Churro-Fried Banana Split,12,,Entree,,,13.2,
,150017,San Diablo Savory,Bacon Wrapped Churros Dog,8,,Entree,,,8.8,
,150018,San Diablo Savory,Bacon-Wrapped Churros Dog Full Meal Deal,11,,Entree,,,12.1,
,150019,San Diablo Savory,Take & Bake 3-Pack,14,,Entree,,,26.4,
,150020,San Diablo Savory,Churro-Fried Chicken Tenders,10,,Entree,,,11,
,150021,San Diablo Savory,Churro-Fried Chicken Tenders Full Meal Deal,13,,Entree,,,14.3,
,150022,San Diablo Savory,Churro-Fried Baby Dogs,8,,Entree,,,8.8,
,150023,San Diablo Savory,Churro-Fried Baby Dogs Full Meal Deal,11,,Entree,,,12.1,
,150024,San Diablo Savory,Churro-Fried Cheese Bites,8,,Entree,,,8.8,
3909096,150025,Donate,$1 Donation,1,100% of proceeds go directly to this local restaurant,Donation,0,0,1,1
3909097,150026,Donate,$5 Donation,5,100% of proceeds go directly to this local restaurant,Donation,0,0,5,5
3909098,150027,Donate,$10 Donation,10,100% of proceeds go directly to this local restaurant,Donation,0,0,10,10
3909099,150028,Donate,$20 Donation,20,100% of proceeds go directly to this local restaurant,Donation,0,0,20,20
3909100,150029,Donate,$50 Donation,50,100% of proceeds go directly to this local restaurant,Donation,0,0,50,50
3909101,150030,Donate,$100 Donation,100,100% of proceeds go directly to this local restaurant,Donation,0,0,100,100
