Restaurant - Base Pricing Info,,,,,,,,Markup,,Chefpanzee Price,
Product Id,Product Name,Original Price,Product Description,Category (Internal),Variation,Cost Variation,,Lunch,Dinner,Lunch,Dinner
3636656,Fried Green Tomatoes & Okra,8.95,Cornmeal breaded tomatoes and okra salad our ranch.,Appetizer,0,0,,0.291,0.291,11.55445,11.55445
3636657,Bacon Cheese Fries,7.95,"Blackened seasoned fries topped with our house cheddar sauce, bacon and soul sauce.",Appetizer,0,0,,0.291,0.291,10.26345,10.26345
3636658,Fried Chicken,13.95,Drumstick And Thigh Breaded With Herbs And Spices. Served With Our Maple Hot Sauce.,Entree,0,0,,0.191,0.241,16.614449999999998,17.31195
3636659,Catfish,15.75,Cornmeal Breaded Catfish Fillets Served Crispy With Our Soul Sauce.,Entree,0,0,,0.191,0.241,18.75825,19.545749999999998
3636660,Blackened Pork Chops,12.95,Two Seasoned And Seared Chops Served With Our Soul Sauce.,Entree,0,0,,0.191,0.241,15.423449999999999,16.07095
3636661,Fried Pork Chops,12.95,Two Floured And Fried Pork Chops Served With Our Apple Mash.,Entree,0,0,,0.191,0.241,15.423449999999999,16.07095
3636662,Chicken Fried Chicken,13.95,Pounded And Breaded Chicken Breast Topped With Brown Gravy.,Entree,0,0,,0.191,0.241,16.614449999999998,17.31195
3636663,Shrimp and Grits,13.95,Shrimp And Bacon Sauteed In Black And Butter And Served Over Cheesy Cheddar Grits.,Entree,0,0,,0.191,0.241,16.614449999999998,17.31195
3636664,Pork Neck Bones,12.95,Seared And Simmered Neck Bones Red Potatoes And Green Beans In A Rich Broth.,Entree,0,0,,0.191,0.241,15.423449999999999,16.07095
3636665,The Big Cheddar,13.95,Shrimp And Bacon Sauteed In Blackened Butter And Served Over Our Golden Splendor Shells And Cheese.,Entree,0,0,,0.191,0.241,16.614449999999998,17.31195
3636666,Broccoli Kale Salad,9.95,Chopped Kale Red Cabbage And Broccoli Tossed With A Honey Dijon Dressing Topped With Dried Cranberries And Sunflower Kernels.,Entree,0,0,,0.191,0.241,11.850449999999999,12.347949999999999
3636667,Southern Wedge,9.95,Chopped Kale And Applesauce With A Creamy Cranberry Dressing Topped With Candied Walnuts And Bacon.,Entree,0,0,,0.191,0.241,11.850449999999999,12.347949999999999
3636668,Kale Apple Salad,9.95,Wedges Of Lettuce Topped With Bacon And Cheddar Drizzled With Our Sole Sauce And Finished With A Basted Egg.,Entree,0,0,,0.191,0.241,11.850449999999999,12.347949999999999
3636669,Fried Chicken Bites,6,Fried Chicken Bites.,Entree,0,0,,0.191,0.241,7.146,7.446
3636670,Golden Splendor (shells & cheese),6,Golden Splendor (Shells And Cheese),Entree,0,0,,0.191,0.241,7.146,7.446
3636671,Lemon Bars,6.55,Lemon Curd Baked In A Buttery Graham Cracker Crust.,Dessert,0,0,,0.266,0.3535,8.2923,8.865425
3636672,Apple Bread Pudding,6.55,Soft And Sweet Bread Pudding Topped With Our Apple Cream.,Dessert,0,0,,0.266,0.3535,8.2923,8.865425
3636673,Collard Greens,3.95,"Tender Collard Greens Slow Cooked With Bacon, Onion And Garlic.",Sides,0,0,,0.291,0.291,5.09945,5.09945
