Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,80001,Uthappam,Plain Uthappam,5.99,,,,,6.59,
,80002,Uthappam,Onion Uthappam,6.99,,,,,7.69,
,80003,Uthappam,Podi Uthappam,6.99,,,,,7.69,
,80004,Uthappam,Onion Podi Uthappam,7.99,,,,,8.79,
,80005,Uthappam,SBC Special Uthappam,9.99,,,,,10.99,
,80006,Uthappam,Cheese Uthappam,7.99,,,,,8.79,
,80007,Uthappam,Chettinad Uthappam,7.99,,,,,8.79,
,80008,Uthappam,Nellore Uthappam,7.99,,,,,8.79,
,80009,Uthappam,Veg Uthappam,7.99,,,,,8.79,
,80010,New Arrivals,Chettinad Wrap,8.99,,,,,9.89,
,80011,New Arrivals,Mysore Wrap,8.99,,,,,9.89,
,80012,New Arrivals,Nellore Wrap,8.99,,,,,9.89,
,80013,New Arrivals,Indo- French Wrap,10.99,,,,,12.09,
,80014,New Arrivals,Kadappa Special Kara Dosa,8.99,,,,,9.89,
,80015,New Arrivals,Mumbai Kadai Paneer Dosa,9.99,,,,,10.99,
,80016,New Arrivals,Karaikudi Masala Dosa,7.99,,,,,8.79,
,80017,Dosa Varieties,Ghee Dosa,5.99,,,,,6.89,
,80018,Dosa Varieties,Onion Dosa,5.99,,,,,6.89,
,80019,Dosa Varieties,Plain Dosa,5.99,,,,,6.89,
,80020,Dosa Varieties,Masala Dosa,5.99,,,,,5.49,
,80021,Dosa Varieties,Onion Podi Dosa,5.99,,,,,6.89,
,80022,Dosa Varieties,Onion Masala Dosa,6.99,,,,,7.69,
,80023,Dosa Varieties,Cheese Dosa,6.99,,,,,7.69,
,80024,Dosa Varieties,Cone Dosa,6.99,,,,,7.69,
,80025,Rava Dosa,Onion Podi Rava Dosa,9.99,,,,,10.99,
,80026,Rava Dosa,Onion Rava Masala Dosa,9.99,,,,,10.99,
,80027,Rava Dosa,Onion Rava Dosa,7.99,,,,,8.79,
,80028,Rava Dosa,Podi Rava Dosa,7.99,,,,,8.79,
,80029,Rava Dosa,Rava Dosa,6.99,,,,,7.69,
,80030,Special Dosa Varieties,Butter Podi Masala Dosa,7.99,,,,,8.79,
