Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,200001,Canned Fruits,Young Coconut Meat In Syrup,2.4,,,,,2.4,2.4
,200002,Canned Fruits,Mango Slice In Syrup,1.88,,,,,1.88,1.88
,200003,Canned Fruits,Banana In Syrup,1.67,,,,,1.67,1.67
,200004,Canned Fruits,Longan In Syrup,2.4,,,,,2.4,2.4
,200005,Canned Fruits,"Longan In Syrup, 20 Oz",2.82,,,,,2.82,2.82
,200006,Canned Fruits,Jackfruit In Syrup,2.51,,,,,2.51,2.51
,200007,Canned Fruits,Lychee In Syrup,2.61,,,,,2.61,2.61
,200008,Canned Fruits,Tropical Fruit Salad In Light Syrup,2.4,,,,,2.4,2.4
,200009,Canned Fruits,Rambutan With Pineapple In Syrup,3.56,,,,,3.56,3.56
,200010,Canned Fruits,Mutant Coconut,6.29,,,,,6.29,6.29
,200011,Canned Fruits,Rambutan In Syrup,3.66,,,,,3.66,3.66
,200012,Canned Fruits,Pineapple Chunk And Heavy Syrup,2.09,,,,,2.09,2.09
,200013,Canned Fruits,Pineapple Slices In Heavy Syrup,2.09,,,,,2.09,2.09
,200014,Canned Fruits,Toddy Palm Seed & Jackfruit In Syrup,2.51,,,,,2.51,2.51
,200015,Canned Fruits,Pickled Lemon,2.09,,,,,2.09,2.09
,200016,Canned Fruits,Preserved Lemon,2.4,,,,,2.4,2.4
,200017,Canned Meats & Poultry,Quail Egg In Brine,3.03,,,,,3.03,3.03
,200018,Canned Meats & Poultry,Quail Eggs In Water,2.82,,,,,2.82,2.82
,200019,Canned Meats & Poultry,Pickled Gouramy Fish,10.49,,,,,10.49,10.49
,200020,Canned Vegetables,Bamboo Shoots,4.71,,,,,4.71,4.71
,200021,Canned Vegetables,"Bamboo Shoots, 16 Oz",4.19,,,,,4.19,4.19
,200022,Canned Vegetables,Garbanzo Beans,2.61,,,,,2.61,2.61
,200023,Canned Vegetables,Red Mung Beans,4.19,,,,,4.19,4.19
,200024,Canned Vegetables,"Bamboo Shoot With Bai Yanang, Cha Om, Chili, Oyster Mushroom And Tomato",4.82,,,,,4.82,4.82
,200025,Canned Vegetables,3 Taste Sour Bamboo And Rattan Shoot With Chili,5.24,,,,,5.24,5.24
,200026,Canned Vegetables,Bamboo Shoot In Bai Yanang Juice,4.82,,,,,4.82,4.82
,200027,Canned Vegetables,Toddy Palm�s Seed Whole In Syrup,2.51,,,,,2.51,2.51
,200028,Canned Vegetables,Water Chestnuts,1.04,,,,,1.04,1.04
,200029,Canned Vegetables,Black Beans,1.56,,,,,1.56,1.56
,200030,Canned Vegetables,Kidney Beans In Brine,1.67,,,,,1.67,1.67
,200031,Canned Vegetables,Black-eyed Beans,1.56,,,,,1.56,1.56
,200032,Canned Vegetables,Fermented Mixed Vegetables Slice In Soy Sauce,0.72,,,,,0.72,0.72
,200033,Canned Vegetables,Fermented Hot And Sour Green Mustard Slices In Soy Sauce,0.72,,,,,0.72,0.72
,200034,Canned Vegetables,Fermented Sweet And Mustard Greens In Soy Sauce,0.72,,,,,0.72,0.72
,200035,Canned Vegetables,Fermented Green Mustard House With Chili In Soy Sauce,0.83,,,,,0.83,0.83
,200036,Canned Vegetables,Preserved Galanga,1.04,,,,,1.04,1.04
,200037,Canned Vegetables,Young Green Peppercorns,3.66,,,,,3.66,3.66
,200038,Canned Vegetables,Pickled Cassia Leaves In Brine,2.09,,,,,2.09,2.09
,200039,Canned Vegetables,Fish Sauce With Eggplants,3.14,,,,,3.14,3.14
,200040,Canned Vegetables,Pickled Lotus Rootlets,2.3,,,,,2.3,2.3
,200041,Canned Vegetables,Whole Pickled Leek In Vinegar,3.77,,,,,3.77,3.77
,200042,Canned Vegetables,Pickled Garlic,2.93,,,,,2.93,2.93
,200043,Canned Vegetables,Pickled Krachai,2.3,,,,,2.3,2.3
,200044,Canned Vegetables,Pickled Galangal,2.4,,,,,2.4,2.4
,200045,Canned Vegetables,Pickled Ginger,1.88,,,,,1.88,1.88
,200046,Canned Vegetables,Minced Garlic,3.45,,,,,3.45,3.45
