,,,,,,Markup,,Chefpanzee Price,
SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
50001,Soups,Miso Cup,1.99,,,,,2.39,2.39
50002,Soups,Tokyo Bowl,5.99,,,,,7.19,7.19
50003,Soups,Firecracker Cup,2.99,,,,,3.59,3.59
50004,Soups,Bonsai Cup,3.99,,,,,4.79,4.79
50005,From The Grill,Raging Bull,6.99,,,,,7.69,7.69
50006,From The Grill,Liz's Chicken,7.49,,,,,8.24,8.24
50007,From The Grill,Teriyaki Chicken & Veggies,6.99,,,,,7.69,7.69
50008,From The Grill,Kobe Beef,7.99,,,,,8.79,8.79
50009,From The Grill,Red Dragon,6.99,,,,,7.69,7.69
50010,From The Grill,Hawaiian Chicken,6.99,,,,,7.69,7.69
50011,From The Grill,Curry,6.99,,,,,7.14,7.14
50012,From The Grill,Peanut Chicken,7.49,,,,,8.24,8.24
50013,From The Grill,Sweet and Chili Chicken,7.49,,,,,8.24,8.24
50014,From The Grill,Yakinku,7.99,,,,,8.79,8.79
50015,Tempura Style,Raspberry Chicken,7.99,,,,,8.79,8.79
50016,Tempura Style,Tempura Chicken and Veggies,7.99,,,,,13.19,13.19
50017,Tempura Style,Tempura Veggie Bowl,6.99,,,,,7.69,7.69
50018,Tempura Style,Reloaded Shrimp,7.99,,,,,8.79,8.79
50019,Better Together,Enso,9.99,,,,,10.99,10.99
50020,Better Together,Da Vinci,9.99,,,,,10.99,10.99
50021,Better Together,Wasatch,9.99,,,,,10.99,10.99
50022,Salads,Sesame Ginger Salad,3.99,,,,,4.79,4.79
50023,Salads,Asian Steak Salad,3.99,,,,,4.79,4.79
50024,Salads,Cranberry Walnut Salad,3.99,,,,,4.79,4.79
50025,Salads,Okinawa Salad,3.99,,,,,4.79,4.79
50026,Sushi Rolls,Samurai,4.99,,,,,5.49,5.49
50027,Sushi Rolls,Vegas,4.99,,,,,5.49,5.49
50028,Sushi Rolls,Mario's,4.29,,,,,4.72,4.72
50029,Sushi Rolls,Matrix,3.99,,,,,4.39,4.39
50030,Sushi Rolls,Lotus Roll,4.29,,,,,4.72,4.72
50031,Sushi Rolls,California (Half Size),2.99,,,,,3.29,3.29
50032,Sushi Rolls,Spicy Tuna (Half Size),3.49,,,,,3.84,3.84
50033,Sushi Rolls,Godzilla,3.99,,,,,4.39,4.39
50034,Sides,House Salad,1.49,,,,,1.79,1.79
50035,Sides,Edamame,1.99,,,,,2.39,2.39
50036,Sides,Egg Roll,1.99,,,,,2.39,2.39
50037,Sides,Gyoza,1.99,,,,,2.39,2.39
50038,Sides,Veggie Eggrolls,1.99,,,,,2.39,2.39
50039,Sides,Side Tempura Veggies,2.99,,,,,3.59,3.59
50040,Sides,Tempura Shrimp (5 pc),3.99,,,,,4.79,4.79
50041,Donate,$1 Donation,1,,,,,1,1
50042,Donate,$5 Donation,5,,,,,5,5
50043,Donate,$10 Donation,10,,,,,10,10
50044,Donate,$20 Donation,20,,,,,20,20
50045,Donate,$50 Donation,50,,,,,50,50
50046,Donate,$100 Donation,100,,,,,100,100
,,Miso Bowl,2,,Add - On,,,2.4,2.4
,,Firecracker Bowl,2,,Add - On,,,2.4,2.4
,,Bonsai Bowl,3,,Add - On,,,3.6,3.6
,,Raging Bull Large,4,,Add - On,,,4.4,4.4
,,Liz's Chicken Large,4.5,,Add - On,,,4.95,4.95
,,Teriyaki Chicken & Veggies Large,4,,Add - On,,,4.4,4.4
,,Kobe Beef Large,4,,Add - On,,,4.4,4.4
,,Red Dragon Large,4,,Add - On,,,4.4,4.4
,,Hawaiian Chicken Large,4,,Add - On,,,4.4,4.4
,,Curry Large,4,,Add - On,,,4.95,4.95
,,Peanut Chicken Large,4.5,,Add - On,,,4.95,4.95
,,Sweet and Chili Chicken Large,4.5,,Add - On,,,4.95,4.95
,,Yakinku Large,4,,Add - On,,,4.4,4.4
,,Raspberry Chicken Large,4,,Add - On,,,4.4,4.4
,,Tempura Chicken and Veggies Large,4,,Add - On,,,4.4,4.4
,,Reloaded Shrimp Large,4,,Add - On,,,4.4,4.4
,,Sesame Ginger Salad Large,3,,Add - On,,,2.9,2.9
,,Asian Steak Salad Large,3,,Add - On,,,2.9,2.9
,,Cranberry Walnut Salad Large,3,,Add - On,,,2.9,2.9
,,Okinawa Salad Large,3,,Add - On,,,2.9,2.9
,,Samurai Full,3,,Add - On,,,3.3,3.3
,,Vegas Full,2.6,,Add - On,,,2.86,2.86
,,Mario's Full,2,,Add - On,,,2.2,2.2
,,Matrix Full,2,,Add - On,,,2.2,2.2
,,Lotus Roll Full,2.7,,Add - On,,,2.97,2.97
,,Godzilla Full,2,,Add - On,,,2.2,2.2
,,Edamame Large,2,,Add - On,,,2.4,2.4
,,Side Tempura Veggies Large,3,,Add - On,,,3.6,3.6
